,velocity_log_density,acceleration_log_density,target_log_density,total_reward,velocity_penalty,acceleration_penalty,distance_to_centers,distance_to_boundaries
0,"[-0.31636169 -0.30084802 -0.42332909 -0.41088751 -0.52202831 -0.16409898
 -0.64364768 -0.15863206 -0.16826245 -0.22427344]","[-112.53828358 -107.39560492 -174.95161234 -119.61277162 -189.78240643
  -98.85290513 -173.22026828  -63.72731342  -84.14170057 -104.47086077]","[0.73724633 0.73724633 0.73724633 0.73724633 0.73724633 0.73724633
 0.73724633 0.73724633 0.68373097 0.73724633]","[-112.11739894 -106.95920661 -174.6376951  -119.2864128  -189.56718842
  -98.27975778 -173.12666963  -63.14869915  -83.62623205 -103.95788788]","[0.01035223 0.01007298 0.01227764 0.01205369 0.01405422 0.0076115
 0.01624337 0.00751309 0.00768644 0.00869464]","[0.00226274 0.00215989 0.00351101 0.00240423 0.00380763 0.00198904
 0.00347638 0.00128652 0.00169481 0.00210139]","[0.73798786 0.51602469 0.42383403 0.37704799 0.56179315 0.80761871
 0.49815499 0.65301745 0.82789846 0.74155302]","[0.         0.         0.         0.         0.         0.
 0.         0.         0.01034556 0.        ]"
1,"[-0.08290167 -0.10965582 -0.26030147 -0.40434882 -0.35573145 -0.51293321
 -0.74275132 -0.42262585 -0.60969853 -0.43230442]","[ -65.13714477  -63.1707936   -93.69489618 -117.54637238 -125.07698655
 -145.25535936 -190.65811708 -164.46997264 -161.5600679  -134.86343645]","[0.73724633 0.73724633 0.73724633 0.73724633 0.73724633 0.73724633
 0.73724633 0.73724633 0.73724633 0.73724633]","[ -64.48280011  -62.54320308  -93.21795131 -117.21347487 -124.69547167
 -145.03104625 -190.66362206 -164.15535216 -161.4325201  -134.55849454]","[0.00614994 0.00663152 0.00934314 0.01193599 0.01106088 0.01389051
 0.01802724 0.01226498 0.01563229 0.01243919]","[0.00131472 0.00127539 0.00188588 0.00236291 0.00251352 0.00291708
 0.00382514 0.00330138 0.00324318 0.00270925]","[0.84137947 0.50901317 0.47663376 0.67031138 0.56376397 0.75089649
 0.64205952 0.51233645 0.64491204 0.59259126]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
2,"[-0.46145465 -0.37201113 -0.17451586 -0.20479265 -0.26835729 -0.14809925
 -0.12287399 -0.31226653 -1.22209258 -0.52478578]","[-124.08118737 -121.48237772  -89.07680402  -91.48063868 -115.60673937
  -87.16955934  -64.56529595 -125.27314681 -362.1689738  -174.94113376]","[0.73724633 0.73724633 0.73724633 0.73724633 0.73724633 0.73724633
 0.73724633 0.73724633 0.73724633 0.73724633]","[-123.8053957  -121.11714252  -88.51407356  -90.948185   -115.13785033
  -86.58041226  -63.95092361 -124.84816701 -362.65382006 -174.72867321]","[0.0129639  0.01135392 0.007799   0.00834398 0.00948815 0.0073235
 0.00686945 0.01027851 0.02665538 0.01410386]","[0.0024936  0.00244163 0.00179351 0.00184159 0.00232411 0.00175537
 0.00130328 0.00251744 0.00725536 0.0035108 ]","[0.32545126 0.43018768 0.61323756 0.36983626 0.75538836 0.85257133
 0.52376294 0.29229444 0.88086808 0.81929931]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
3,"[-0.20922769 -0.42170458 -0.74894532 -0.51098029 -0.22844848 -0.47377734
 -0.40912473 -0.49975483 -0.43167314 -0.44715986]","[ -77.5783596  -136.63399286 -204.88890533 -165.62494034  -84.23323142
 -143.84782531 -132.1125008  -169.71041294 -137.54992913 -125.78390931]","[0.73724633 0.73724633 0.73724633 0.73724633 0.73724633 0.73724633
 0.73724633 0.73724633 0.73724633 0.73724633]","[ -77.05034095 -136.31845111 -204.90060432 -165.3986743   -83.72443357
 -143.58435632 -131.7843792  -169.47292144 -137.24435594 -125.49382284]","[0.00842381 0.0122484  0.01813873 0.01385536 0.00876979 0.01318571
 0.01202196 0.0136533  0.01242783 0.01270659]","[0.00156354 0.00274466 0.00410976 0.00332448 0.00169664 0.00288893
 0.00265423 0.00340619 0.00276298 0.00252766]","[0.59469844 0.83289628 0.50263934 0.67255132 0.50670465 0.6565423
 0.61562073 0.37049722 0.52850135 0.78211325]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
4,"[-0.22085964 -0.44160146 -0.93204236 -0.27237696 -0.55029044 -0.39042741
 -0.66534165 -0.20671861 -0.2473696  -0.22446005]","[ -81.79073764 -154.84560827 -245.05255535  -90.62174559 -149.93751884
 -132.18270011 -176.0806637  -113.4465772   -96.93249299  -93.63829148]","[0.73724633 0.73724633 0.73724633 0.73724633 0.73724633 0.73724633
 0.73724633 0.73724633 0.73724633 0.73724633]","[ -81.27435095 -154.5499634  -245.24735138  -90.15687622 -149.75056295
 -131.83588119 -176.00875902 -112.91604948  -96.44261626  -93.1255052 ]","[0.00863319 0.01260654 0.02143448 0.0095605  0.01456294 0.01168541
 0.01663386 0.00837865 0.00911037 0.008698  ]","[0.00164779 0.00310889 0.00491303 0.00182441 0.00301073 0.00265563
 0.00353359 0.00228091 0.00195063 0.00188474]","[0.72707478 0.67148209 0.38180595 0.75561841 0.79250987 0.35344762
 0.32470089 0.66971857 0.40691901 0.5939279 ]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
5,"[-0.92470089 -0.54000102 -0.51201114 -0.69432891 -0.32891038 -0.51056958
 -0.3006799  -0.59264835 -0.62753921 -0.17350258]","[-267.79957825 -170.46882751 -166.04372665 -206.85773876 -122.01071342
 -151.77668047 -117.87238675 -179.23562823 -198.48147087  -67.55208692]","[0.73724633 0.73724633 0.73724633 0.73724633 0.73724633 0.73724633
 0.73724633 0.73724633 0.73724633 0.73724633]","[-267.98703282 -170.2715822  -165.81849146 -206.81482134 -121.60237747
 -151.55000372 -117.43582032 -179.09103025 -198.37176374  -66.98834317]","[0.02130233 0.01437773 0.01387392 0.01715564 0.0105781  0.01384797
 0.01006995 0.01532539 0.01595342 0.00778076]","[0.00536797 0.00342135 0.00333285 0.00414913 0.00245219 0.00304751
 0.00236943 0.00359669 0.00398161 0.00136302]","[0.41512923 0.80266737 0.44555548 0.56157948 0.67830284 0.38029035
 0.47745575 0.87594812 0.75307076 0.4570727 ]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
6,"[-0.23725316 -0.37304403 -0.40818518 -0.35034005 -0.24005942 -0.27656974
 -0.16173185 -0.70318721 -1.09353922 -0.22916302]","[ -88.8970762  -145.08984208 -123.2369366  -117.04033168  -97.10952525
 -115.31295407  -89.24947233 -215.82447121 -276.27288058  -78.3940896 ]","[0.73724633 0.73724633 0.73724633 0.73724633 0.73724633 0.73724633
 0.73724633 0.73724633 0.73724633 0.73724633]","[ -88.39708304 -144.72563978 -122.90787545 -116.65342539  -96.61233833
 -114.85227748  -88.67395785 -215.79041209 -276.62917347  -77.88600629]","[0.00892827 0.01137251 0.01200505 0.01096384 0.00897878 0.00963597
 0.00756889 0.01731508 0.02434142 0.00878265]","[0.00178992 0.00291377 0.00247672 0.00235278 0.00195417 0.00231824
 0.00179697 0.00432847 0.00553744 0.00157986]","[0.72511632 0.67456804 0.67736162 0.50999979 0.76775206 0.78048205
 0.59914363 0.61183828 0.45361251 0.42932562]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
7,"[-0.29677696 -0.28213891 -0.33928258 -0.31443187 -0.3669853  -0.45797653
 -0.36709874 -1.39453237 -0.36820348 -0.27787748]","[-115.44202214 -100.18022192 -141.08348887  -99.02110573 -112.01255958
 -147.4474404  -116.65574581 -337.59218529 -129.12663753 -107.16578935]","[0.73724633 0.73724633 0.73724633 0.73724633 0.73724633 0.73724633
 0.73724633 0.73724633 0.73724633 0.73724633]","[-115.00155277  -99.72511449 -140.68552512  -98.59829127 -111.64229855
 -147.1681706  -116.28559822 -338.24947134 -128.75759468 -106.70642049]","[0.0099997  0.00973622 0.0107648  0.01031749 0.01126345 0.01290129
 0.01126549 0.0297593  0.01128538 0.00965951]","[0.00232082 0.00201558 0.00283365 0.0019924  0.00225223 0.00296093
 0.00234509 0.00676382 0.00259451 0.00215529]","[0.84441271 0.54360391 0.48434273 0.96499955 0.53074264 0.65391254
 0.68535237 0.52680448 0.52559498 0.59790437]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
8,"[-0.79838857 -0.5174395  -0.33828051 -0.55607915 -0.39816795 -0.53258856
 -0.5371649  -0.80071546 -0.52506813 -0.77410197]","[-197.04653286 -150.26792062 -101.3954052  -152.97112422 -120.53714242
 -143.67367437 -133.838159   -252.64999168 -135.005359   -221.12724196]","[0.73724633 0.73724633 0.73724633 0.73724633 0.73724633 0.73724633
 0.73724633 0.73724633 0.73724633 0.73724633]","[-197.1076751  -150.04811378 -100.99643939 -152.78995704 -120.19806403
 -143.4690166  -133.63807757 -252.71346081 -134.7931808  -221.1640976 ]","[0.01902871 0.01397163 0.01074676 0.01466714 0.01182474 0.01424431
 0.01432668 0.01907059 0.01410894 0.01859155]","[0.00395291 0.00301734 0.00203989 0.0030714  0.00242272 0.00288545
 0.00268874 0.00506498 0.00271208 0.00443452]","[0.46250783 0.59446768 0.27831401 0.16499224 0.5857631  0.1429154
 0.35545786 0.19886665 0.6816523  0.50512113]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
9,"[-0.25842181 -0.24411926 -1.03492971 -0.73851935 -1.29354483 -0.15894729
 -0.14498992 -0.33743876 -0.06269548 -0.27977587]","[ -97.6893555   -92.27900118 -320.0119317  -201.49340737 -362.79986012
  -82.61780683  -70.6294577  -117.22651446  -57.16580863  -98.64614917]","[0.73724633 0.73724633 0.73724633 0.73724633 0.73724633 0.73724633
 0.73724633 0.73724633 0.60380111 0.73724633]","[ -97.21053098  -91.78587411 -320.30961508 -201.49468039 -363.35615861
  -82.03950778  -70.03720129 -116.82670689  -56.62470301  -98.18867871]","[0.00930931 0.00905186 0.02328645 0.01795106 0.02794152 0.00751877
 0.00726753 0.01073161 0.00578623 0.00969368]","[0.00196576 0.00185756 0.00641222 0.00404185 0.00726797 0.00166433
 0.00142457 0.00235651 0.00115529 0.0019849 ]","[0.55803856 0.81910105 0.31476282 0.44550208 0.24352753 0.42851749
 0.38737206 0.54844581 0.77593846 0.71690187]","[0.         0.         0.         0.         0.         0.
 0.         0.         0.01633678 0.        ]"
