,velocity_log_density,acceleration_log_density,target_log_density,total_reward,velocity_penalty,acceleration_penalty,distance_to_centers,distance_to_boundaries
0,"[-0.23637255 -0.13010163 -0.05788244 -0.41134132 -0.08246447 -0.07956107
 -0.10456117 -0.53637626 -0.1239599  -0.08655292]","[-131.22752006 -106.86216592 -103.53305623 -221.0620726   -77.86791096
 -102.26632422 -116.5250506  -170.22243741 -219.42740465  -33.08425106]","[0.73724633 0.73724633 0.73724633 0.73724633 0.73724633 0.73724633
 0.73724633 0.73724633 0.73724633 0.73724633]","[-130.72664629 -106.25502122 -102.85369234 -220.73616759  -77.2131291
 -101.60863896 -115.89236544 -170.02156734 -218.81411822  -32.43355765]","[0.00891242 0.00699954 0.0056996  0.01206186 0.00614208 0.00608981
 0.00653982 0.01431249 0.00688899 0.00621567]","[0.00263653 0.00214922 0.00208264 0.00443322 0.00156934 0.0020573
 0.00234248 0.00341643 0.00440053 0.00067366]","[0.41224253 0.46682729 0.60584012 0.44807044 0.31761762 0.52102466
 0.3391702  0.54043846 0.83720974 0.44457673]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
1,"[-0.34473475 -0.07639815 -0.21698262 -0.27297738 -0.1812192  -0.12095594
 -0.48902599 -0.13247896 -0.13363385 -0.09869634]","[ -82.82884289  -79.94793368  -68.06757877  -96.30329788 -107.56392718
 -119.25143709 -114.25089689 -159.0494243  -124.78828141  -35.79312686]","[0.73724633 0.73724633 0.73724633 0.73724633 0.73724633 0.73724633
 0.73724633 0.73724633 0.73724633 0.73724633]","[ -82.43633131  -79.28708551  -67.54731506  -95.83902893 -107.00790004
 -118.6351467  -114.00267655 -158.44465693 -124.18466893  -35.15457687]","[0.01086294 0.00603288 0.0085634  0.00957131 0.00791966 0.00683492
 0.01346018 0.00704234 0.00706312 0.00643425]","[0.00166855 0.00161094 0.00137333 0.00193804 0.00216326 0.00239701
 0.002297   0.00319297 0.00250774 0.00072784]","[0.37081761 0.61307681 0.24364146 0.46126718 0.38067346 0.45149917
 0.62097672 0.61067463 0.41545661 0.39260346]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
2,"[-0.47389701 -0.16213816 -0.24234153 -0.1870591  -0.25557687 -0.22299631
 -0.47738395 -0.25357266 -0.54342517 -0.2412657 ]","[-146.07120288 -105.68529049 -201.92397342 -175.29711174 -194.44699298
 -250.35951379 -225.70447812 -252.5532678  -298.47158588 -244.22632821]","[0.73724633 0.73724633 0.73724633 0.73724633 0.73724633 0.73724633
 0.73724633 0.73724633 0.73724633 0.73724633]","[-145.80785356 -105.11018232 -201.42906863 -174.74692452 -193.96532352
 -249.84526377 -225.44461574 -252.06959413 -298.27776472 -243.73034758]","[0.01318786 0.0075762  0.00901986 0.00802478 0.0092581  0.00867165
 0.01325063 0.00922202 0.01443937 0.0090005 ]","[0.0029334  0.00212568 0.00405046 0.00351792 0.00390092 0.00501917
 0.00452607 0.00506304 0.00598141 0.0048965 ]","[0.47290103 0.44328278 0.59775303 0.5923932  0.32062743 0.67032484
 0.34685024 0.5727556  0.25144823 0.45574118]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
3,"[-0.43890421 -0.59399494 -0.30583668 -0.37737866 -0.37605486 -0.27414259
 -0.48404324 -0.40121685 -0.2830518  -0.32555649]","[-263.18582941 -293.60638831 -132.45735866 -211.23156687 -287.66565977
 -186.23118269 -106.70192995  -91.047979   -197.82964191 -148.27057658]","[0.73724633 0.73724633 0.73724633 0.73724633 0.73724633 0.73724633
 0.73724633 0.73724633 0.73724633 0.73724633]","[-262.88748728 -293.46313692 -132.025949   -210.8716992  -287.3044683
 -185.76807895 -106.44872685  -90.71194951 -197.37544738 -147.85888674]","[0.01255799 0.01534962 0.01016278 0.01145053 0.0114267  0.00959228
 0.01337049 0.01187962 0.00975265 0.01051773]","[0.00527569 0.00588411 0.00266112 0.00423661 0.00576529 0.0037366
 0.00214602 0.00183294 0.00396857 0.00297739]","[0.54439773 0.32374477 0.57262826 0.56255875 0.47265942 0.45416925
 0.48149553 0.47034015 0.77087565 0.36258793]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
4,"[-0.45156464 -0.27420219 -0.78737449 -0.17393029 -0.6178024  -0.15605559
 -0.35728387 -0.19530276 -0.46307008 -0.31053282]","[-214.47409678 -193.64722385 -280.01841337  -68.16708447 -128.2015474
 -159.008177   -245.06715145 -263.48469843 -152.07661467 -135.93346216]","[0.73724633 0.73724633 0.73724633 0.73724633 0.73724633 0.73724633
 0.73724633 0.73724633 0.73724633 0.73724633]","[-214.18841509 -193.1841797  -280.06854152  -67.60376843 -128.08210346
 -158.42698625 -244.68718899 -262.94275486 -151.80243842 -135.50674865]","[0.01278588 0.00959335 0.01883046 0.00778846 0.01577816 0.00746672
 0.01108882 0.00817316 0.01299298 0.01024731]","[0.00430146 0.00388492 0.00561235 0.00137532 0.00257601 0.00319214
 0.00491332 0.00528167 0.00305351 0.00273065]","[0.69923822 0.60811989 0.39617915 0.64189331 0.4383224  0.45605265
 0.48514424 0.65097396 0.37938923 0.5254445 ]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
5,"[-0.50594656 -0.41042354 -0.20556518 -0.51401267 -0.45698918 -0.59855988
 -0.64813916 -0.45881574 -0.61257945 -0.69416906]","[-331.65718922 -426.49814547 -419.89942969 -130.38498764 -220.00807493
 -249.57366692 -225.92417534 -232.86395194 -325.40349914 -285.80679212]","[0.73724633 0.73724633 0.73724633 0.73724633 0.73724633 0.73724633
 0.73724633 0.73724633 0.73724633 0.73724633]","[-331.42588945 -426.17132267 -419.36774855 -130.16175397 -219.72781778
 -249.43498047 -225.83506818 -232.58552135 -325.27883226 -285.76371485]","[0.01376475 0.01204534 0.00835789 0.01390994 0.01288352 0.01543179
 0.01632422 0.0129164  0.01568414 0.01715276]","[0.00664512 0.00854194 0.00840997 0.00261968 0.00441214 0.00500345
 0.00453046 0.00466926 0.00652005 0.00572811]","[0.51557057 0.67197141 0.67288324 0.63445389 0.60649068 0.39965955
 0.81514677 0.53631166 0.54941284 0.48526801]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
6,"[-0.29680625 -0.2877194  -0.4260624  -0.2880735  -0.13175834 -0.13896885
 -0.0404721  -0.36618984 -0.35191893 -0.18266461]","[-150.67421104 -152.97552436 -191.49152015 -147.81170931  -46.10997932
 -114.95604817  -56.14628075 -198.6453414  -193.58214976  -82.56244095]","[0.73724633 0.73724633 0.73724633 0.73724633 0.73724633 0.73724633
 0.73724633 0.73724633 0.73724633 0.73724633]","[-150.23377096 -152.52599743 -191.18033622 -147.36253648  -45.50449133
 -114.35777069  -55.44950652 -198.27428491 -193.19682235  -82.00785924]","[0.01000023 0.00983666 0.01232684 0.00984304 0.00702936 0.00715915
 0.00538621 0.01124913 0.01099226 0.00794568]","[0.00302546 0.00307149 0.00384181 0.00296821 0.00093418 0.0023111
 0.0011349  0.00398488 0.00388362 0.00166323]","[0.5302136  0.8510697  0.40118635 0.57343423 0.30548981 0.7283037
 0.87476383 0.24467059 0.78221767 0.48061897]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
7,"[-0.26774106 -0.24125348 -0.18947502 -0.65713063 -0.65523123 -1.18969617
 -0.17844466 -0.49699324 -0.44599093 -0.27402134]","[-263.45828795 -226.53657544  -79.96553741 -441.93177965 -346.69202482
 -183.85042612 -189.81062387 -290.63126667 -179.66582246 -144.9094661 ]","[0.73724633 0.73724633 0.73724633 0.73724633 0.73724633 0.73724633
 0.73724633 0.73724633 0.73724633 0.73724633]","[-262.98878269 -226.04058259  -79.41776611 -441.85166395 -346.61000972
 -184.30287596 -189.2518222  -290.39101358 -179.37456705 -144.44624112]","[0.00947705 0.00900028 0.00806827 0.01648607 0.01645188 0.02607225
 0.00786972 0.01360359 0.01268555 0.0095901 ]","[0.00528114 0.00454271 0.00161129 0.00885061 0.00694582 0.00368899
 0.00380819 0.0058246  0.00360529 0.00291017]","[0.74494346 0.56654674 0.49593597 0.63562137 0.35499499 0.50332707
 0.41356603 0.50078969 0.5351836  0.59226504]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
8,"[-0.56024144 -0.40845921 -0.35805993 -0.29202747 -0.72519317 -0.24345885
 -0.53044566 -0.38212581 -0.52552915 -0.67232408]","[-191.08330206 -216.60161697 -174.55556931 -182.00985518 -177.12044466
 -138.47221395 -239.22983866 -220.54880096 -200.56689824 -252.8311256 ]","[0.73724633 0.73724633 0.73724633 0.73724633 0.73724633 0.73724633
 0.73724633 0.73724633 0.73724633 0.73724633]","[-190.90629717 -216.27282985 -174.17638291 -181.56463632 -177.10839149
 -137.97842647 -239.02303799 -220.19368044 -200.35518106 -252.76620335]","[0.01474206 0.01200998 0.01110279 0.00991421 0.01771119 0.00903997
 0.01420574 0.01153598 0.01411724 0.01675955]","[0.00383364 0.00434401 0.00350309 0.00365217 0.00355439 0.00278142
 0.00479657 0.00442295 0.00402332 0.0050686 ]","[0.40552823 0.44637281 0.55978173 0.3618625  0.54326644 0.53488888
 0.4254444  0.70523844 0.24072844 0.16052755]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
9,"[-0.63597453 -0.38683969 -0.59983061 -0.1698787  -0.28465054 -0.28285321
 -0.31998777 -0.62595648 -0.36934854 -0.47411042]","[-141.01945929 -262.51548354 -322.02241575  -88.71838751 -286.27628792
 -159.87413238 -287.201794   -305.63890161  -82.98405898 -207.97671464]","[0.73724633 0.73724633 0.73724633 0.73724633 0.73724633 0.73724633
 0.73724633 0.73724633 0.73724633 0.73724633]","[-140.91818749 -262.16507689 -321.88500003  -88.15101989 -285.82369213
 -159.41973926 -286.78453544 -305.52761176  -82.61616119 -207.71357873]","[0.01610526 0.01162083 0.01545467 0.00771553 0.00978142 0.00974907
 0.01041749 0.01592493 0.01130599 0.0131917 ]","[0.00283237 0.00526229 0.00645243 0.00178635 0.0057375  0.00320946
 0.00575601 0.00612476 0.00167166 0.00417151]","[0.48172274 0.58696982 0.68821092 0.5204664  0.30600156 0.87883101
 0.30578038 0.57942171 0.50323436 0.49477426]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
